[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,10,10,5,1,1,100000,23180,0.2318,1,1
2,10,10,5,1,1,100000,21114,0.21114,1,1
3,10,10,5,1,2,200000,25186,0.12593,1,1
4,10,10,5,1,1,100000,21723,0.21723,1,1
5,10,10,5,1,1,100000,22222,0.22222,3,3
6,10,10,5,1,1,100000,20418,0.20418,2,2
7,10,10,5,1,1,100000,21933,0.21933,1,1
8,10,10,5,1,1,100000,22600,0.226,1,1
9,10,10,5,1,1,100000,13693,0.13693,5,5
10,10,10,5,1,1,100000,20985,0.20985,2,2
11,10,10,5,1,1,100000,14557,0.14557,2,2
12,10,10,5,1,1,100000,21495,0.21495,2,2
13,10,10,5,1,1,100000,18915,0.18915,2,2
14,10,10,5,1,1,100000,20891,0.20891,1,1
15,10,10,5,1,1,100000,23987,0.23987,1,1
16,10,10,5,1,1,100000,19847,0.19847,2,2
17,10,10,5,1,1,100000,20264,0.20264,1,1
18,10,10,5,1,1,100000,23252,0.23252,1,1
19,10,10,5,1,2,200000,24964,0.12482,2,2
20,10,10,5,1,1,100000,21440,0.2144,1,1
21,10,10,5,1,2,200000,22883,0.114415,2,2
22,10,10,5,1,1,100000,18340,0.1834,1,1
23,10,10,5,1,1,100000,26216,0.26216,1,1
24,10,10,5,1,1,100000,22680,0.2268,1,1
25,10,10,5,1,1,100000,20177,0.20177,2,2
26,10,10,5,1,2,200000,24741,0.123705,1,1
27,10,10,5,1,1,100000,16064,0.16064,1,1
28,10,10,5,1,2,200000,26984,0.13492,1,1
29,10,10,5,1,1,100000,17512,0.17512,1,1
30,10,10,5,1,1,100000,24734,0.24734,1,1
15.5,10,10,5,1,1.166666667,116666.6667,21433.23333,0.193539333,1.5,1.5
