event-count,Axelrod,event-count,SI Model,event-count,Modified SI,,,,,,,,,interaction-count,Axelrod,,interaction-count,SI Model,,interaction-count,Modified SI
0,895,0,898,0,894,,,,,,,,,0,895,,0,898,,0,894
100000,474,100000,418,100000,381,,,,,,,,,20392,474,,7755,418,,8998,381
200000,477,200000,261,200000,261,,,,,,,,,49338,477,,16607,261,,20158,261
300000,454,300000,203,300000,246,,,,,,,,,81942,454,,25218,203,,33449,246
400000,410,400000,209,400000,187,,,,,,,,,116145,410,,34287,209,,48206,187
500000,483,500000,160,500000,180,,,,,,,,,151993,483,,43730,160,,62555,180
600000,405,600000,160,600000,145,,,,,,,,,189119,405,,52911,160,,77111,145
700000,365,700000,143,700000,135,,,,,,,,,225760,365,,62373,143,,90720,135
800000,391,800000,154,800000,134,,,,,,,,,262575,391,,72172,154,,104472,134
900000,330,900000,144,900000,121,,,,,,,,,299995,330,,82442,144,,117686,121
1000000,316,1000000,125,1000000,107,,,,,,,,,337168,316,,91978,125,,131115,107
1100000,281,1100000,114,1100000,107,,,,,,,,,374233,281,,101267,114,,145176,107
1200000,240,1200000,87,1200000,111,,,,,,,,,410747,240,,110183,87,,158400,111
1300000,253,1300000,78,1300000,99,,,,,,,,,447935,253,,118309,78,,171840,99
1400000,231,1400000,79,1400000,99,,,,,,,,,484495,231,,126449,79,,184737,99
1500000,186,1500000,68,1500000,82,,,,,,,,,520638,186,,134428,68,,195765,82
1600000,176,1600000,64,1600000,68,,,,,,,,,556517,176,,142151,64,,207354,68
1700000,183,1700000,62,1700000,60,,,,,,,,,593266,183,,149870,62,,219414,60
1800000,167,1800000,51,1800000,73,,,,,,,,,629152,167,,157528,51,,231247,73
1900000,133,1900000,46,1900000,66,,,,,,,,,664932,133,,164269,46,,243696,66
2000000,135,2000000,43,2000000,62,,,,,,,,,699423,135,,170769,43,,256054,62
2100000,135,2100000,30,2100000,48,,,,,,,,,734074,135,,177379,30,,268022,48
2200000,95,2200000,27,2200000,42,,,,,,,,,769084,95,,183151,27,,280015,42
2300000,92,2300000,24,2300000,38,,,,,,,,,803547,92,,188621,24,,292151,38
2400000,85,2400000,19,2400000,37,,,,,,,,,836571,85,,193292,19,,303883,37
2500000,78,2500000,12,2500000,29,,,,,,,,,869698,78,,197949,12,,314548,29
2600000,63,2600000,10,2600000,22,,,,,,,,,902647,63,,202212,10,,324946,22
2700000,61,2700000,11,2700000,18,,,,,,,,,935157,61,,206422,11,,333745,18
2800000,57,2800000,8,2800000,14,,,,,,,,,968062,57,,210180,8,,341993,14
2900000,63,2900000,6,2900000,14,,,,,,,,,1001458,63,,213379,6,,349221,14
3000000,55,3000000,5,3000000,13,,,,,,,,,1033635,55,,215801,5,,355876,13
3100000,49,3100000,5,3100000,9,,,,,,,,,1065394,49,,218050,5,,361276,9
3200000,42,3200000,5,3200000,6,,,,,,,,,1095944,42,,220284,5,,365799,6
3300000,53,3300000,5,3300000,5,,,,,,,,,1127076,53,,222365,5,,369372,5
3400000,42,3400000,5,3400000,5,,,,,,,,,1156602,42,,224238,5,,372146,5
3500000,30,3500000,4,3500000,5,,,,,,,,,1186880,30,,225815,4,,373852,5
3600000,27,3600000,3,3574031,4,,,,,,,,,1215513,27,,226787,3,,374474,4
3700000,32,3669959,2,,,,,,,,,,,1243480,32,,226993,2,,,
3800000,30,,,,,,,,,,,,,1272613,30,,,,,,
3900000,30,,,,,,,,,,,,,1304677,30,,,,,,
4000000,32,,,,,,,,,,,,,1336543,32,,,,,,
4100000,31,,,,,,,,,,,,,1368507,31,,,,,,
4200000,30,,,,,,,,,,,,,1398232,30,,,,,,
4300000,22,,,,,,,,,,,,,1426725,22,,,,,,
4400000,27,,,,,,,,,,,,,1455547,27,,,,,,
4500000,27,,,,,,,,,,,,,1482915,27,,,,,,
4600000,26,,,,,,,,,,,,,1509342,26,,,,,,
4700000,25,,,,,,,,,,,,,1533080,25,,,,,,
4800000,19,,,,,,,,,,,,,1557868,19,,,,,,
4900000,11,,,,,,,,,,,,,1579786,11,,,,,,
5000000,11,,,,,,,,,,,,,1597208,11,,,,,,
5100000,10,,,,,,,,,,,,,1611704,10,,,,,,
5200000,8,,,,,,,,,,,,,1630077,8,,,,,,
5300000,8,,,,,,,,,,,,,1650016,8,,,,,,
5400000,8,,,,,,,,,,,,,1668529,8,,,,,,
5500000,7,,,,,,,,,,,,,1685809,7,,,,,,
5600000,4,,,,,,,,,,,,,1695723,4,,,,,,
5700000,2,,,,,,,,,,,,,1702819,2,,,,,,
5800000,2,,,,,,,,,,,,,1709931,2,,,,,,
5900000,2,,,,,,,,,,,,,1716500,2,,,,,,
6000000,2,,,,,,,,,,,,,1721289,2,,,,,,
6100000,2,,,,,,,,,,,,,1722972,2,,,,,,
6200000,2,,,,,,,,,,,,,1723773,2,,,,,,
6300000,2,,,,,,,,,,,,,1724911,2,,,,,,
6400000,1,,,,,,,,,,,,,1724918,1,,,,,,
