"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"w3_temp.nlogox"
"experiment"
"04/12/2026 20:26:24:421 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","grid-size","Q","F","alpha","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions","largest-region-fraction"
"1","30","10","5","0","0","0","0","0","898","900","0.0011111111111111111"
"1","30","10","5","0","1","100000","7755","0.07755","418","423","0.014444444444444444"
"1","30","10","5","0","2","200000","16607","0.083035","261","284","0.021111111111111112"
"1","30","10","5","0","3","300000","25218","0.08406","203","221","0.03666666666666667"
"1","30","10","5","0","4","400000","34287","0.0857175","209","242","0.043333333333333335"
"1","30","10","5","0","5","500000","43730","0.08746","160","186","0.042222222222222223"
"1","30","10","5","0","6","600000","52911","0.088185","160","190","0.05444444444444444"
"1","30","10","5","0","7","700000","62373","0.08910428571428572","143","171","0.06777777777777778"
"1","30","10","5","0","8","800000","72172","0.090215","154","199","0.05333333333333334"
"1","30","10","5","0","9","900000","82442","0.09160222222222222","144","175","0.05333333333333334"
"1","30","10","5","0","10","1000000","91978","0.091978","125","159","0.11"
"1","30","10","5","0","11","1100000","101267","0.0920609090909091","114","142","0.09111111111111111"
"1","30","10","5","0","12","1200000","110183","0.09181916666666666","87","117","0.11"
"1","30","10","5","0","13","1300000","118309","0.09100692307692308","78","103","0.11666666666666667"
"1","30","10","5","0","14","1400000","126449","0.09032071428571428","79","117","0.14333333333333334"
"1","30","10","5","0","15","1500000","134428","0.08961866666666667","68","105","0.16111111111111112"
"1","30","10","5","0","16","1600000","142151","0.088844375","64","101","0.16"
"1","30","10","5","0","17","1700000","149870","0.08815882352941176","62","100","0.1711111111111111"
"1","30","10","5","0","18","1800000","157528","0.08751555555555555","51","80","0.17777777777777778"
"1","30","10","5","0","19","1900000","164269","0.08645736842105263","46","74","0.20444444444444446"
"1","30","10","5","0","20","2000000","170769","0.0853845","43","60","0.21888888888888888"
"1","30","10","5","0","21","2100000","177379","0.08446619047619047","30","54","0.23777777777777778"
"1","30","10","5","0","22","2200000","183151","0.08325045454545454","27","43","0.2722222222222222"
"1","30","10","5","0","23","2300000","188621","0.08200913043478261","24","40","0.2922222222222222"
"1","30","10","5","0","24","2400000","193292","0.08053833333333334","19","41","0.33"
"1","30","10","5","0","25","2500000","197949","0.0791796","12","25","0.28555555555555556"
"1","30","10","5","0","26","2600000","202212","0.07777384615384615","10","23","0.32666666666666666"
"1","30","10","5","0","27","2700000","206422","0.07645259259259259","11","20","0.31222222222222223"
"1","30","10","5","0","28","2800000","210180","0.07506428571428571","8","12","0.47333333333333333"
"1","30","10","5","0","29","2900000","213379","0.07357896551724138","6","8","0.5211111111111111"
"1","30","10","5","0","30","3000000","215801","0.07193366666666667","5","6","0.5166666666666667"
"1","30","10","5","0","31","3100000","218050","0.07033870967741936","5","5","0.5511111111111111"
"1","30","10","5","0","32","3200000","220284","0.06883875","5","5","0.5955555555555555"
"1","30","10","5","0","33","3300000","222365","0.06738333333333334","5","7","0.6822222222222222"
"1","30","10","5","0","34","3400000","224238","0.06595235294117648","5","6","0.7511111111111111"
"1","30","10","5","0","35","3500000","225815","0.06451857142857143","4","4","0.8677777777777778"
"1","30","10","5","0","36","3600000","226787","0.0629963888888889","3","3","0.9544444444444444"
"1","30","10","5","0","37","3669959","226993","0.0618516446641502","2","2","0.9988888888888889"
