[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,10,10,5,0,1,100000,5666,0.05666,2,2
2,10,10,5,0,1,100000,7567,0.07567,2,2
3,10,10,5,0,1,100000,6143,0.06143,1,1
4,10,10,5,0,1,100000,5676,0.05676,2,2
5,10,10,5,0,1,100000,5809,0.05809,2,2
6,10,10,5,0,1,100000,6490,0.0649,3,3
7,10,10,5,0,1,100000,5427,0.05427,2,2
8,10,10,5,0,1,100000,5439,0.05439,2,2
9,10,10,5,0,1,100000,5194,0.05194,3,3
10,10,10,5,0,1,100000,8561,0.08561,3,3
11,10,10,5,0,1,100000,6221,0.06221,1,1
12,10,10,5,0,1,100000,7349,0.07349,1,1
13,10,10,5,0,1,100000,6252,0.06252,2,2
14,10,10,5,0,2,200000,9072,0.04536,4,4
15,10,10,5,0,1,100000,5404,0.05404,1,1
16,10,10,5,0,1,100000,6811,0.06811,1,1
17,10,10,5,0,1,100000,5835,0.05835,2,2
18,10,10,5,0,1,100000,6990,0.0699,1,1
19,10,10,5,0,1,100000,7240,0.0724,1,1
20,10,10,5,0,1,100000,5614,0.05614,3,3
21,10,10,5,0,1,100000,7795,0.07795,3,3
22,10,10,5,0,1,100000,7626,0.07626,1,1
23,10,10,5,0,1,100000,8978,0.08978,3,3
24,10,10,5,0,1,100000,8891,0.08891,1,1
25,10,10,5,0,1,100000,5058,0.05058,3,3
26,10,10,5,0,1,100000,5132,0.05132,1,1
27,10,10,5,0,1,100000,5990,0.0599,2,2
28,10,10,5,0,1,100000,6275,0.06275,2,2
29,10,10,5,0,1,100000,6274,0.06274,2,2
30,10,10,5,0,1,100000,7264,0.07264,2,2
15.5,10,10,5,0,1.033333333,103333.3333,6601.433333,0.064502333,1.966666667,1.966666667
