[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions,largest-region-fraction
1,30,10,5,0,46,4600000,358922,0.078026522,2,2,0.998888889
2,30,10,5,0,48,4800000,293109,0.061064375,3,3,0.996666667
3,30,10,5,0,38,3800000,280388,0.073786316,3,3,0.994444444
4,30,10,5,0,45,4500000,294649,0.065477556,1,1,1
5,30,10,5,0,26,2600000,218747,0.084133462,2,2,0.996666667
6,30,10,5,0,63,6300000,316191,0.050189048,2,2,0.998888889
7,30,10,5,0,27,2700000,234067,0.086691481,1,1,1
8,30,10,5,0,42,4200000,291092,0.069307619,1,1,1
9,30,10,5,0,42,4200000,260852,0.062107619,2,2,0.998888889
10,30,10,5,0,48,4800000,315148,0.065655833,1,1,1
11,30,10,5,0,35,3500000,233891,0.066826,1,1,1
12,30,10,5,0,35,3500000,210389,0.060111143,6,6,0.972222222
13,30,10,5,0,35,3500000,284282,0.081223429,2,2,0.993333333
14,30,10,5,0,29,2900000,227591,0.078479655,1,1,1
15,30,10,5,0,22,2200000,176759,0.080345,1,1,1
16,30,10,5,0,35,3500000,294196,0.084056,1,1,1
17,30,10,5,0,35,3500000,281868,0.080533714,5,5,0.984444444
18,30,10,5,0,41,4100000,303982,0.074141951,2,2,0.998888889
19,30,10,5,0,44,4400000,311511,0.070797955,2,2,0.997777778
20,30,10,5,0,38,3800000,286065,0.075280263,1,1,1
21,30,10,5,0,31,3100000,264138,0.085205806,2,2,0.998888889
22,30,10,5,0,24,2400000,199886,0.083285833,1,1,1
23,30,10,5,0,34,3400000,267724,0.078742353,4,4,0.996666667
24,30,10,5,0,36,3600000,231328,0.064257778,3,3,0.996666667
25,30,10,5,0,39,3900000,234796,0.060204103,2,2,0.998888889
26,30,10,5,0,44,4400000,287350,0.065306818,4,4,0.996666667
27,30,10,5,0,35,3500000,280412,0.080117714,4,4,0.995555556
28,30,10,5,0,29,2900000,206234,0.071115172,2,2,0.998888889
29,30,10,5,0,49,4900000,294103,0.06002102,4,4,0.992222222
30,30,10,5,0,36,3600000,307558,0.085432778,3,3,0.995555556
31,30,10,5,0,41,4100000,250517,0.061101707,1,1,1
32,30,10,5,0,37,3700000,276409,0.074705135,3,3,0.993333333
33,30,10,5,0,47,4700000,295710,0.062917021,1,1,1
34,30,10,5,0,26,2600000,196411,0.075542692,4,4,0.996666667
35,30,10,5,0,61,6100000,347389,0.056949016,1,1,1
36,30,10,5,0,39,3900000,239182,0.061328718,5,5,0.995555556
37,30,10,5,0,39,3900000,244653,0.062731538,1,1,1
38,30,10,5,0,42,4200000,248205,0.059096429,2,2,0.997777778
39,30,10,5,0,55,5500000,261927,0.047623091,4,4,0.993333333
40,30,10,5,0,71,7100000,354930,0.049990141,1,1,1
41,30,10,5,0,38,3800000,225757,0.059409737,3,3,0.996666667
42,30,10,5,0,52,5200000,287242,0.055238846,2,2,0.998888889
43,30,10,5,0,47,4700000,319735,0.068028723,1,1,1
44,30,10,5,0,33,3300000,276707,0.083850606,2,2,0.998888889
45,30,10,5,0,46,4600000,320792,0.069737391,2,2,0.998888889
46,30,10,5,0,75,7500000,418577,0.055810267,5,5,0.994444444
47,30,10,5,0,52,5200000,325374,0.062571923,1,1,1
48,30,10,5,0,37,3700000,307889,0.083213243,1,1,1
49,30,10,5,0,41,4100000,313822,0.076541951,2,2,0.997777778
50,30,10,5,0,36,3600000,282891,0.078580833,1,1,1
51,30,10,5,0,60,6000000,353807,0.058967833,3,3,0.996666667
52,30,10,5,0,44,4400000,295372,0.06713,2,2,0.996666667
53,30,10,5,0,34,3400000,276004,0.081177647,2,2,0.997777778
54,30,10,5,0,44,4400000,346656,0.078785455,2,2,0.997777778
55,30,10,5,0,30,3000000,199774,0.066591333,2,2,0.998888889
56,30,10,5,0,55,5500000,274251,0.049863818,2,2,0.998888889
57,30,10,5,0,26,2600000,213703,0.082193462,3,3,0.995555556
58,30,10,5,0,73,7300000,312127,0.042757123,1,1,1
59,30,10,5,0,29,2900000,227462,0.078435172,3,3,0.993333333
60,30,10,5,0,35,3500000,273648,0.078185143,3,3,0.996666667
61,30,10,5,0,29,2900000,236365,0.081505172,2,2,0.985555556
62,30,10,5,0,47,4700000,336566,0.071609787,2,2,0.996666667
63,30,10,5,0,39,3900000,261980,0.067174359,2,2,0.998888889
64,30,10,5,0,60,6000000,414735,0.0691225,1,1,1
65,30,10,5,0,30,3000000,254580,0.08486,3,3,0.996666667
66,30,10,5,0,56,5600000,380354,0.067920357,1,1,1
67,30,10,5,0,38,3800000,273802,0.072053158,2,2,0.997777778
68,30,10,5,0,45,4500000,309718,0.068826222,1,1,1
69,30,10,5,0,42,4200000,274892,0.065450476,1,1,1
70,30,10,5,0,28,2800000,251849,0.089946071,1,1,1
71,30,10,5,0,49,4900000,266233,0.054333265,4,4,0.995555556
72,30,10,5,0,29,2900000,226018,0.077937241,2,2,0.997777778
73,30,10,5,0,31,3100000,234528,0.075654194,4,4,0.993333333
74,30,10,5,0,45,4500000,378815,0.084181111,1,1,1
75,30,10,5,0,38,3800000,290032,0.076324211,3,3,0.997777778
76,30,10,5,0,51,5100000,283097,0.055509216,4,4,0.996666667
77,30,10,5,0,36,3600000,300243,0.083400833,1,1,1
78,30,10,5,0,53,5300000,377946,0.071310566,2,2,0.997777778
79,30,10,5,0,35,3500000,289187,0.082624857,1,1,1
80,30,10,5,0,43,4300000,338985,0.078833721,1,1,1
81,30,10,5,0,35,3500000,245746,0.070213143,1,1,1
82,30,10,5,0,57,5700000,362542,0.06360386,2,2,0.997777778
83,30,10,5,0,44,4400000,272510,0.061934091,3,3,0.984444444
84,30,10,5,0,32,3200000,246950,0.077171875,2,2,0.994444444
85,30,10,5,0,32,3200000,278381,0.086994063,2,2,0.998888889
86,30,10,5,0,62,6200000,352151,0.056798548,2,2,0.995555556
87,30,10,5,0,32,3200000,246103,0.076907188,2,2,0.998888889
88,30,10,5,0,35,3500000,291041,0.083154571,2,2,0.998888889
89,30,10,5,0,56,5600000,340177,0.060745893,2,2,0.998888889
90,30,10,5,0,43,4300000,315733,0.073426279,2,2,0.998888889
91,30,10,5,0,79,7900000,354343,0.044853544,2,2,0.998888889
92,30,10,5,0,36,3600000,291080,0.080855556,1,1,1
93,30,10,5,0,31,3100000,232550,0.075016129,4,4,0.98
94,30,10,5,0,30,3000000,217806,0.072602,2,2,0.998888889
95,30,10,5,0,41,4100000,267196,0.065169756,1,1,1
96,30,10,5,0,41,4100000,269168,0.065650732,2,2,0.998888889
97,30,10,5,0,67,6700000,313237,0.046751791,3,3,0.997777778
98,30,10,5,0,50,5000000,277191,0.0554382,2,2,0.998888889
99,30,10,5,0,26,2600000,224171,0.086219615,3,3,0.997777778
100,30,10,5,0,52,5200000,390243,0.075046731,1,1,1
50.5,30,10,5,0,41.81,4181000,283823.95,0.070281112,2.15,2.15,0.997277778
