[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,interaction-count
1,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.095695882,304,270,769,1700000,162683
2,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.093776842,318,285,772,1900000,178176
3,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.096698667,323,301,844,1500000,145048
4,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.084815,285,264,679,1600000,135704
5,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.092372105,292,250,806,1900000,175507
6,0.001,10,35000000,TRUE,10,5,0,0.1,30,14,0.094745714,328,293,810,1400000,132644
7,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.0985335,326,293,800,2000000,197067
8,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.097614,277,246,726,2000000,195228
9,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.099010588,322,291,831,1700000,168318
10,0.001,10,35000000,TRUE,10,5,0,0.1,30,22,0.101458182,341,294,870,2200000,223208
11,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.094063529,339,306,830,1700000,159908
12,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.095599375,298,274,778,1600000,152959
13,0.001,10,35000000,TRUE,10,5,0,0.1,30,26,0.088562308,242,214,658,2600000,230262
14,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.09468,324,288,794,1500000,142020
15,0.001,10,35000000,TRUE,10,5,0,0.1,30,22,0.085469545,324,294,755,2200000,188033
16,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.099014706,331,290,787,1700000,168325
17,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.0942,329,283,828,1500000,141300
18,0.001,10,35000000,TRUE,10,5,0,0.1,30,13,0.088875385,321,292,820,1300000,115538
19,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.097339333,289,243,758,1500000,146009
20,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.093569375,343,310,832,1600000,149711
21,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.096500556,307,280,818,1800000,173701
22,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.092785,317,287,743,1800000,167013
23,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.098876875,290,257,779,1600000,158203
24,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.097303,328,300,837,2000000,194606
25,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.095026667,311,272,786,1500000,142540
26,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.102771053,318,284,866,1900000,195265
27,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.09389,331,300,847,1500000,140835
28,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.099881875,354,320,889,1600000,159811
29,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.088638,326,298,786,1500000,132957
30,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.0877175,284,260,755,1600000,140348
31,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.0903425,409,384,864,2000000,180685
32,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.080832667,411,387,827,1500000,121249
33,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.0795,473,448,874,1900000,151050
34,0.001,10,35000000,TRUE,10,5,0,0.2,30,22,0.089636364,412,381,853,2200000,197200
35,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.087700588,435,414,850,1700000,149091
36,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.083931765,432,414,846,1700000,142684
37,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.088434737,409,388,843,1900000,168026
38,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.093338235,387,359,844,1700000,158675
39,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.080534,430,408,809,1500000,120801
40,0.001,10,35000000,TRUE,10,5,0,0.2,30,14,0.083046429,381,360,749,1400000,116265
41,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.085485,453,427,921,1800000,153873
42,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.08776,434,411,861,1900000,166744
43,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.089334444,434,404,891,1800000,160802
44,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.083630625,424,400,844,1600000,133809
45,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.088624118,426,406,819,1700000,150661
46,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.081474667,429,404,822,1500000,122212
47,0.001,10,35000000,TRUE,10,5,0,0.2,30,21,0.085857619,408,390,829,2100000,180301
48,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.08004,376,355,746,1600000,128064
49,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.085239444,426,407,890,1800000,153431
50,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.086041176,405,391,777,1700000,146270
51,0.001,10,35000000,TRUE,10,5,0,0.2,30,14,0.079682857,452,419,875,1400000,111556
52,0.001,10,35000000,TRUE,10,5,0,0.2,30,24,0.094264167,420,399,880,2400000,226234
53,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.086974118,405,386,824,1700000,147856
54,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.0853775,379,360,776,2000000,170755
55,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.084384444,421,399,837,1800000,151892
56,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.086318125,416,395,860,1600000,138109
57,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.088111667,454,434,878,1800000,158601
58,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.091921667,467,444,955,1800000,165459
59,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.084818667,413,386,843,1500000,127228
60,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.080106,439,417,835,1500000,120159
61,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.077421053,493,471,885,1900000,147100
62,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069300667,490,479,842,1500000,103951
63,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.072559375,504,488,848,1600000,116095
64,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.07042625,495,481,761,1600000,112682
65,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.066950714,491,472,794,1400000,93731
66,0.001,10,35000000,TRUE,10,5,0,0.3,30,12,0.067203333,519,500,813,1200000,80644
67,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.07393,458,436,782,1900000,140467
68,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.071753571,521,500,905,1400000,100455
69,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.072556667,541,523,897,1500000,108835
70,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.066455333,504,489,811,1500000,99683
71,0.001,10,35000000,TRUE,10,5,0,0.3,30,12,0.062634167,542,530,830,1200000,75161
72,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.068812308,503,487,803,1300000,89456
73,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.076024706,521,504,916,1700000,129242
74,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.06902,520,507,822,1600000,110432
75,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.068244211,528,511,861,1900000,129664
76,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.067655882,506,488,820,1700000,115015
77,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.073186667,507,487,872,1800000,131736
78,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.075141875,521,505,852,1600000,120227
79,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.070454375,506,488,823,1600000,112727
80,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.068276154,495,479,766,1300000,88759
81,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.077175294,510,493,872,1700000,131198
82,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.074480588,496,480,838,1700000,126617
83,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.068678571,533,519,857,1400000,96150
84,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.07112625,534,517,837,1600000,113802
85,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.071050556,484,460,789,1800000,127891
86,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.073910667,538,519,889,1500000,110866
87,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.069221429,471,458,748,1400000,96910
88,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.067255714,497,485,759,1400000,94158
89,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.078259444,517,494,906,1800000,140867
90,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.06613375,523,512,814,1600000,105814
91,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.057162667,551,538,760,1500000,85744
92,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.055542143,552,543,751,1400000,77759
93,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.058356429,596,583,844,1400000,81699
94,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.057409286,562,551,770,1400000,80373
95,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.054504167,590,582,789,1200000,65405
96,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.06249,576,562,807,1400000,87486
97,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.05548375,577,565,802,1600000,88774
98,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058758462,565,557,812,1300000,76386
99,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.051080833,556,542,727,1200000,61297
100,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.052471333,601,593,780,1500000,78707
101,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.062607333,568,560,865,1500000,93911
102,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.055087692,558,548,742,1300000,71614
103,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058552308,553,540,790,1300000,76118
104,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.056144,560,551,785,1500000,84216
105,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.059964,590,579,852,1500000,89946
106,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.052792,584,572,791,1500000,79188
107,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.053463077,570,562,758,1300000,69502
108,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058852308,570,560,827,1300000,76508
109,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.0584025,572,560,806,1600000,93444
110,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.052519167,586,581,788,1200000,63023
111,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.054625714,616,611,821,1400000,76476
112,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.055619375,584,571,812,1600000,88991
113,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.05933,592,583,824,1500000,88995
114,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.062153529,567,562,861,1700000,105661
115,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0538075,581,573,741,1200000,64569
116,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.055625385,593,581,821,1300000,72313
117,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058110769,549,535,760,1300000,75544
118,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.060361765,575,561,808,1700000,102615
119,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.059212,608,594,863,1500000,88818
120,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.052881429,597,584,789,1400000,74034
60.5,0.001,10,35000000,#DIV/0!,10,5,0,0.25,30,16.16666667,0.077007489,455.4083333,434.6833333,817.775,1616666.667,126684.3333
