"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"stubborn_sweep"
"03/22/2026 11:01:42:953 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","epsilon","Q","max-ticks","use-stubborn?","stability-window","F","alpha","stubborn-fraction","grid-size","[step]","interaction-rate","number-of-regions","unique-cultures","active-links","event-count","interaction-count"
"2","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","15","0","0"
"3","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","19","0","0"
"1","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","13","0","0"
"2","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00438","6","6","0","100000","438"
"3","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00241","4","4","0","100000","241"
"1","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00895","10","10","3","100000","895"
"2","0.002","10","35000000","true","10","5","0","0.1","5","2","0.00219","6","6","0","200000","438"
"3","0.002","10","35000000","true","10","5","0","0.1","5","2","0.001205","4","4","0","200000","241"
"1","0.002","10","35000000","true","10","5","0","0.1","5","2","0.00608","9","9","1","200000","1216"
"2","0.002","10","35000000","true","10","5","0","0.1","5","3","0.00146","6","6","0","300000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","3","0.005846666666666667","9","9","1","300000","1754"
"3","0.002","10","35000000","true","10","5","0","0.1","5","3","8.033333333333333E-4","4","4","0","300000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","4","0.001095","6","6","0","400000","438"
"2","0.002","10","35000000","true","10","5","0","0.1","5","5","8.76E-4","6","6","0","500000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","4","0.00603","9","9","1","400000","2412"
"3","0.002","10","35000000","true","10","5","0","0.1","5","4","6.025E-4","4","4","0","400000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","6","7.3E-4","6","6","0","600000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","5","0.00605","11","11","5","500000","3025"
"3","0.002","10","35000000","true","10","5","0","0.1","5","5","4.82E-4","4","4","0","500000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","7","6.257142857142858E-4","6","6","0","700000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","6","0.0057","9","9","1","600000","3420"
"3","0.002","10","35000000","true","10","5","0","0.1","5","6","4.0166666666666665E-4","4","4","0","600000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","8","5.475E-4","6","6","0","800000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","7","0.005622857142857143","9","9","1","700000","3936"
"3","0.002","10","35000000","true","10","5","0","0.1","5","7","3.442857142857143E-4","4","4","0","700000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","9","4.8666666666666666E-4","6","6","0","900000","438"
"1","0.002","10","35000000","true","10","5","0","0.1","5","8","0.00527","9","9","1","800000","4216"
"3","0.002","10","35000000","true","10","5","0","0.1","5","8","3.0125E-4","4","4","0","800000","241"
"1","0.002","10","35000000","true","10","5","0","0.1","5","9","0.005004444444444444","9","9","1","900000","4504"
"2","0.002","10","35000000","true","10","5","0","0.1","5","10","4.38E-4","6","6","0","1000000","438"
"3","0.002","10","35000000","true","10","5","0","0.1","5","9","2.6777777777777775E-4","4","4","0","900000","241"
"2","0.002","10","35000000","true","10","5","0","0.1","5","11","3.981818181818182E-4","6","6","0","1100000","438"
"3","0.002","10","35000000","true","10","5","0","0.1","5","10","2.41E-4","4","4","0","1000000","241"
"1","0.002","10","35000000","true","10","5","0","0.1","5","10","0.005198","10","10","5","1000000","5198"
"2","0.002","10","35000000","true","10","5","0","0.1","5","12","3.65E-4","6","6","0","1200000","438"
"3","0.002","10","35000000","true","10","5","0","0.1","5","11","2.190909090909091E-4","4","4","0","1100000","241"
"1","0.002","10","35000000","true","10","5","0","0.1","5","11","0.0051309090909090905","9","9","1","1100000","5644"
"2","0.002","10","35000000","true","10","5","0","0.1","5","13","3.3692307692307694E-4","6","6","0","1300000","438"
"4","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","14","0","0"
"3","0.002","10","35000000","true","10","5","0","0.1","5","12","2.0083333333333333E-4","4","4","0","1200000","241"
"5","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","17","0","0"
"1","0.002","10","35000000","true","10","5","0","0.1","5","12","0.005345","9","9","1","1200000","6414"
"5","0.002","10","35000000","true","10","5","0","0.1","5","1","0.01258","4","4","0","100000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","1","0.06716","11","11","17","100000","6716"
"1","0.002","10","35000000","true","10","5","0","0.1","5","13","0.005310769230769231","9","9","1","1300000","6904"
"5","0.002","10","35000000","true","10","5","0","0.1","5","2","0.00629","4","4","0","200000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","24","19","0","0"
"4","0.002","10","35000000","true","10","5","0","0.1","5","2","0.064245","10","10","17","200000","12849"
"5","0.002","10","35000000","true","10","5","0","0.1","5","3","0.004193333333333334","4","4","0","300000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","1","0.08429","14","13","25","100000","8429"
"4","0.002","10","35000000","true","10","5","0","0.1","5","3","0.06500333333333333","9","9","11","300000","19501"
"5","0.002","10","35000000","true","10","5","0","0.1","5","4","0.003145","4","4","0","400000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","4","0.0648375","11","11","16","400000","25935"
"6","0.002","10","35000000","true","10","5","0","0.1","5","2","0.08506","13","13","23","200000","17012"
"5","0.002","10","35000000","true","10","5","0","0.1","5","5","0.002516","4","4","0","500000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","5","0.063814","8","8","10","500000","31907"
"5","0.002","10","35000000","true","10","5","0","0.1","5","6","0.002096666666666667","4","4","0","600000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","3","0.08438333333333334","13","13","25","300000","25315"
"5","0.002","10","35000000","true","10","5","0","0.1","5","7","0.0017971428571428572","4","4","0","700000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","6","0.06398833333333333","8","8","12","600000","38393"
"6","0.002","10","35000000","true","10","5","0","0.1","5","4","0.085215","10","10","20","400000","34086"
"5","0.002","10","35000000","true","10","5","0","0.1","5","8","0.0015725","4","4","0","800000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","7","0.06501285714285714","12","11","18","700000","45509"
"6","0.002","10","35000000","true","10","5","0","0.1","5","5","0.085998","8","8","14","500000","42999"
"5","0.002","10","35000000","true","10","5","0","0.1","5","9","0.0013977777777777777","4","4","0","900000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","8","0.06495375","9","9","13","800000","51963"
"5","0.002","10","35000000","true","10","5","0","0.1","5","10","0.001258","4","4","0","1000000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","6","0.08364","11","11","23","600000","50184"
"4","0.002","10","35000000","true","10","5","0","0.1","5","9","0.06592333333333333","11","10","19","900000","59331"
"5","0.002","10","35000000","true","10","5","0","0.1","5","11","0.0011436363636363636","4","4","0","1100000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","7","0.08407571428571428","15","14","27","700000","58853"
"5","0.002","10","35000000","true","10","5","0","0.1","5","12","0.0010483333333333334","4","4","0","1200000","1258"
"4","0.002","10","35000000","true","10","5","0","0.1","5","10","0.066565","10","9","16","1000000","66565"
"5","0.002","10","35000000","true","10","5","0","0.1","5","13","9.676923076923076E-4","4","4","0","1300000","1258"
"6","0.002","10","35000000","true","10","5","0","0.1","5","8","0.0833875","8","8","16","800000","66710"
"4","0.002","10","35000000","true","10","5","0","0.1","5","11","0.06703909090909091","7","7","9","1100000","73743"
"5","0.002","10","35000000","true","10","5","0","0.1","5","14","8.985714285714286E-4","4","4","0","1400000","1258"
"7","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","18","0","0"
"6","0.002","10","35000000","true","10","5","0","0.1","5","9","0.08399777777777778","10","10","21","900000","75598"
"4","0.002","10","35000000","true","10","5","0","0.1","5","12","0.06729333333333333","10","10","12","1200000","80752"
"7","0.002","10","35000000","true","10","5","0","0.1","5","1","0.01922","9","9","6","100000","1922"
"4","0.002","10","35000000","true","10","5","0","0.1","5","13","0.06720384615384616","8","7","13","1300000","87365"
"8","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","24","13","0","0"
"6","0.002","10","35000000","true","10","5","0","0.1","5","10","0.084417","12","10","23","1000000","84417"
"7","0.002","10","35000000","true","10","5","0","0.1","5","2","0.02017","7","7","3","200000","4034"
"8","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00284","9","9","0","100000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","3","0.01974","8","8","4","300000","5922"
"6","0.002","10","35000000","true","10","5","0","0.1","5","11","0.08410818181818182","9","9","16","1100000","92519"
"8","0.002","10","35000000","true","10","5","0","0.1","5","2","0.00142","9","9","0","200000","284"
"8","0.002","10","35000000","true","10","5","0","0.1","5","3","9.466666666666666E-4","9","9","0","300000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","4","0.0196125","9","9","5","400000","7845"
"6","0.002","10","35000000","true","10","5","0","0.1","5","12","0.083465","8","8","15","1200000","100158"
"8","0.002","10","35000000","true","10","5","0","0.1","5","4","7.1E-4","9","9","0","400000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","5","0.01926","10","9","8","500000","9630"
"8","0.002","10","35000000","true","10","5","0","0.1","5","5","5.68E-4","9","9","0","500000","284"
"6","0.002","10","35000000","true","10","5","0","0.1","5","13","0.08400846153846153","11","10","21","1300000","109211"
"7","0.002","10","35000000","true","10","5","0","0.1","5","6","0.01922","7","7","3","600000","11532"
"8","0.002","10","35000000","true","10","5","0","0.1","5","6","4.733333333333333E-4","9","9","0","600000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","7","0.019192857142857143","12","12","11","700000","13435"
"6","0.002","10","35000000","true","10","5","0","0.1","5","14","0.08399857142857142","12","12","22","1400000","117598"
"8","0.002","10","35000000","true","10","5","0","0.1","5","7","4.057142857142857E-4","9","9","0","700000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","8","0.019275","11","11","9","800000","15420"
"8","0.002","10","35000000","true","10","5","0","0.1","5","8","3.55E-4","9","9","0","800000","284"
"6","0.002","10","35000000","true","10","5","0","0.1","5","15","0.083906","11","11","22","1500000","125859"
"8","0.002","10","35000000","true","10","5","0","0.1","5","9","3.155555555555556E-4","9","9","0","900000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","9","0.019188888888888887","7","7","3","900000","17270"
"6","0.002","10","35000000","true","10","5","0","0.1","5","16","0.083709375","10","10","17","1600000","133935"
"8","0.002","10","35000000","true","10","5","0","0.1","5","10","2.84E-4","9","9","0","1000000","284"
"7","0.002","10","35000000","true","10","5","0","0.1","5","10","0.019405","12","11","11","1000000","19405"
"8","0.002","10","35000000","true","10","5","0","0.1","5","11","2.581818181818182E-4","9","9","0","1100000","284"
"6","0.002","10","35000000","true","10","5","0","0.1","5","17","0.08326823529411764","12","12","21","1700000","141556"
"7","0.002","10","35000000","true","10","5","0","0.1","5","11","0.019493636363636362","11","10","9","1100000","21443"
"8","0.002","10","35000000","true","10","5","0","0.1","5","12","2.3666666666666665E-4","9","9","0","1200000","284"
"10","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","19","0","0"
"9","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","13","0","0"
"7","0.002","10","35000000","true","10","5","0","0.1","5","12","0.019451666666666666","9","9","6","1200000","23342"
"11","0.002","10","35000000","true","10","5","0","0.1","5","0","0","25","25","16","0","0"
"10","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00383","4","4","0","100000","383"
"9","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00261","5","5","0","100000","261"
"11","0.002","10","35000000","true","10","5","0","0.1","5","1","0.00433","6","6","0","100000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","2","0.001305","5","5","0","200000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","2","0.001915","4","4","0","200000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","2","0.002165","6","6","0","200000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","3","8.7E-4","5","5","0","300000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","3","0.0012766666666666666","4","4","0","300000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","3","0.0014433333333333334","6","6","0","300000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","4","6.525E-4","5","5","0","400000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","4","9.575E-4","4","4","0","400000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","4","0.0010825","6","6","0","400000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","5","5.22E-4","5","5","0","500000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","5","7.66E-4","4","4","0","500000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","5","8.66E-4","6","6","0","500000","433"
"10","0.002","10","35000000","true","10","5","0","0.1","5","6","6.383333333333333E-4","4","4","0","600000","383"
"9","0.002","10","35000000","true","10","5","0","0.1","5","6","4.35E-4","5","5","0","600000","261"
"11","0.002","10","35000000","true","10","5","0","0.1","5","6","7.216666666666667E-4","6","6","0","600000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","7","3.728571428571429E-4","5","5","0","700000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","7","5.471428571428572E-4","4","4","0","700000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","7","6.185714285714286E-4","6","6","0","700000","433"
"9","0.002","10","35000000","true","10","5","0","0.1","5","8","3.2625E-4","5","5","0","800000","261"
"10","0.002","10","35000000","true","10","5","0","0.1","5","8","4.7875E-4","4","4","0","800000","383"
"11","0.002","10","35000000","true","10","5","0","0.1","5","8","5.4125E-4","6","6","0","800000","433"
