[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
1,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.0948525,269,238,723,1600000,0.057777778,151764
2,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.0985945,290,264,807,2000000,0.06,197189
3,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.103543333,358,304,903,1500000,0.033333333,155315
4,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.097678,301,261,796,1500000,0.06,146517
5,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.09527,327,281,822,1900000,0.041111111,181013
6,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.100475882,284,241,811,1700000,0.047777778,170809
7,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.092709412,237,212,653,1700000,0.137777778,157606
8,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.090090667,300,264,728,1500000,0.137777778,135136
9,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.093578125,318,273,815,1600000,0.113333333,149725
10,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.089731333,324,283,791,1500000,0.076666667,134597
11,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.091333333,320,282,817,1500000,0.046666667,137000
12,0.001,10,35000000,TRUE,10,5,0,0.1,30,21,0.093377619,331,300,845,2100000,0.041111111,196093
13,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.09230125,305,262,804,1600000,0.05,147682
14,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.092888235,288,263,753,1700000,0.106666667,157910
15,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.100485333,340,300,879,1500000,0.041111111,150728
16,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.094576667,250,222,675,1500000,0.057777778,141865
17,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.09556,315,285,783,1600000,0.038888889,152896
18,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.096144444,280,248,771,1800000,0.073333333,173060
19,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.09747375,322,296,815,1600000,0.054444444,155958
20,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.095166316,295,268,737,1900000,0.123333333,180816
21,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.089411333,317,280,754,1500000,0.07,134117
22,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.09418,323,295,751,1600000,0.128888889,150688
23,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.09637,249,223,718,1900000,0.07,183103
24,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.100917647,288,260,746,1700000,0.056666667,171560
25,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.102848,348,311,924,2000000,0.054444444,205696
26,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.088276875,316,274,773,1600000,0.051111111,141243
27,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.101290588,330,285,903,1700000,0.042222222,172194
28,0.001,10,35000000,TRUE,10,5,0,0.1,30,22,0.095435,279,238,729,2200000,0.048888889,209957
29,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.101444211,277,248,720,1900000,0.135555556,192744
30,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.096717368,314,272,817,1900000,0.05,183763
31,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.098388235,353,320,874,1700000,0.046666667,167260
32,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.097890556,321,283,778,1800000,0.081111111,176203
33,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.097994,297,260,817,2000000,0.056666667,195988
34,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.097363889,306,283,778,1800000,0.045555556,175255
35,0.001,10,35000000,TRUE,10,5,0,0.1,30,24,0.090477917,279,243,737,2400000,0.076666667,217147
36,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.098167895,314,280,769,1900000,0.057777778,186519
37,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.096111053,293,273,734,1900000,0.061111111,182611
38,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.092043158,300,269,763,1900000,0.055555556,174882
39,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.096033125,345,301,832,1600000,0.082222222,153653
40,0.001,10,35000000,TRUE,10,5,0,0.1,30,19,0.099570526,259,235,694,1900000,0.073333333,189184
41,0.001,10,35000000,TRUE,10,5,0,0.1,30,21,0.096175714,251,215,708,2100000,0.097777778,201969
42,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.091272,295,266,743,1500000,0.048888889,136908
43,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.095590588,284,245,765,1700000,0.052222222,162504
44,0.001,10,35000000,TRUE,10,5,0,0.1,30,16,0.089705,361,313,873,1600000,0.064444444,143528
45,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.097540667,303,269,844,1500000,0.058888889,146311
46,0.001,10,35000000,TRUE,10,5,0,0.1,30,20,0.1005465,351,317,888,2000000,0.032222222,201093
47,0.001,10,35000000,TRUE,10,5,0,0.1,30,21,0.100404286,359,329,904,2100000,0.075555556,210849
48,0.001,10,35000000,TRUE,10,5,0,0.1,30,18,0.09497,299,261,787,1800000,0.11,170946
49,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.100732353,301,252,831,1700000,0.05,171245
50,0.001,10,35000000,TRUE,10,5,0,0.1,30,17,0.092723529,311,281,806,1700000,0.05,157630
51,0.001,10,35000000,TRUE,10,5,0,0.1,30,15,0.093786667,259,220,701,1500000,0.048888889,140680
52,0.001,10,35000000,TRUE,10,5,0,0.1,30,26,0.088005,252,224,695,2600000,0.095555556,228813
