[run number],grid-size,Q,F,alpha,support-b?,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions,largest-region-fraction
1,30,10,5,0,TRUE,0,0,0,0,894,900,0.001111111
1,30,10,5,0,TRUE,1,100000,8998,0.08998,381,399,0.015555556
1,30,10,5,0,TRUE,2,200000,20158,0.10079,261,294,0.024444444
1,30,10,5,0,TRUE,3,300000,33449,0.111496667,246,293,0.043333333
1,30,10,5,0,TRUE,4,400000,48206,0.120515,187,220,0.036666667
1,30,10,5,0,TRUE,5,500000,62555,0.12511,180,230,0.068888889
1,30,10,5,0,TRUE,6,600000,77111,0.128518333,145,191,0.066666667
1,30,10,5,0,TRUE,7,700000,90720,0.1296,135,176,0.07
1,30,10,5,0,TRUE,8,800000,104472,0.13059,134,174,0.096666667
1,30,10,5,0,TRUE,9,900000,117686,0.130762222,121,167,0.087777778
1,30,10,5,0,TRUE,10,1000000,131115,0.131115,107,143,0.097777778
1,30,10,5,0,TRUE,11,1100000,145176,0.131978182,107,155,0.096666667
1,30,10,5,0,TRUE,12,1200000,158400,0.132,111,166,0.104444444
1,30,10,5,0,TRUE,13,1300000,171840,0.132184615,99,147,0.092222222
1,30,10,5,0,TRUE,14,1400000,184737,0.131955,99,145,0.104444444
1,30,10,5,0,TRUE,15,1500000,195765,0.13051,82,118,0.174444444
1,30,10,5,0,TRUE,16,1600000,207354,0.12959625,68,121,0.176666667
1,30,10,5,0,TRUE,17,1700000,219414,0.129067059,60,102,0.145555556
1,30,10,5,0,TRUE,18,1800000,231247,0.128470556,73,124,0.154444444
1,30,10,5,0,TRUE,19,1900000,243696,0.128261053,66,111,0.132222222
1,30,10,5,0,TRUE,20,2000000,256054,0.128027,62,122,0.117777778
1,30,10,5,0,TRUE,21,2100000,268022,0.127629524,48,78,0.124444444
1,30,10,5,0,TRUE,22,2200000,280015,0.127279545,42,105,0.137777778
1,30,10,5,0,TRUE,23,2300000,292151,0.127022174,38,86,0.167777778
1,30,10,5,0,TRUE,24,2400000,303883,0.126617917,37,85,0.153333333
1,30,10,5,0,TRUE,25,2500000,314548,0.1258192,29,70,0.196666667
1,30,10,5,0,TRUE,26,2600000,324946,0.124979231,22,67,0.24
1,30,10,5,0,TRUE,27,2700000,333745,0.123609259,18,43,0.278888889
1,30,10,5,0,TRUE,28,2800000,341993,0.122140357,14,35,0.312222222
1,30,10,5,0,TRUE,29,2900000,349221,0.120421034,14,31,0.323333333
1,30,10,5,0,TRUE,30,3000000,355876,0.118625333,13,29,0.393333333
1,30,10,5,0,TRUE,31,3100000,361276,0.116540645,9,18,0.587777778
1,30,10,5,0,TRUE,32,3200000,365799,0.114312188,6,8,0.593333333
1,30,10,5,0,TRUE,33,3300000,369372,0.111930909,5,10,0.76
1,30,10,5,0,TRUE,34,3400000,372146,0.109454706,5,8,0.825555556
1,30,10,5,0,TRUE,35,3500000,373852,0.106814857,5,8,0.904444444
1,30,10,5,0,TRUE,36,3574031,374474,0.104776372,4,4,0.996666667
