[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,25,10,5,0,11,1100000,96092,0.087356364,3,3
2,25,10,5,0,12,1200000,121700,0.101416667,2,2
3,25,10,5,0,15,1500000,111735,0.07449,5,5
4,25,10,5,0,15,1500000,121743,0.081162,4,4
5,25,10,5,0,13,1300000,110822,0.085247692,3,3
6,25,10,5,0,14,1400000,117166,0.08369,5,5
7,25,10,5,0,17,1700000,118953,0.069972353,2,2
8,25,10,5,0,17,1700000,120559,0.070917059,4,4
9,25,10,5,0,24,2400000,147684,0.061535,3,3
10,25,10,5,0,21,2100000,148148,0.070546667,3,3
11,25,10,5,0,19,1900000,143599,0.075578421,3,3
12,25,10,5,0,16,1600000,149365,0.093353125,1,1
13,25,10,5,0,20,2000000,179155,0.0895775,2,2
14,25,10,5,0,18,1800000,158821,0.088233889,3,3
15,25,10,5,0,20,2000000,154045,0.0770225,5,5
16,25,10,5,0,19,1900000,159351,0.083868947,1,1
17,25,10,5,0,20,2000000,125025,0.0625125,2,2
18,25,10,5,0,20,2000000,131065,0.0655325,5,5
19,25,10,5,0,15,1500000,123328,0.082218667,1,1
20,25,10,5,0,23,2300000,171290,0.074473913,2,2
21,25,10,5,0,16,1600000,144586,0.09036625,3,3
22,25,10,5,0,13,1300000,117931,0.090716154,3,3
23,25,10,5,0,14,1400000,126870,0.090621429,2,2
24,25,10,5,0,19,1900000,139059,0.073188947,1,1
25,25,10,5,0,23,2300000,165106,0.071785217,1,1
26,25,10,5,0,17,1700000,127972,0.075277647,1,1
27,25,10,5,0,16,1600000,139309,0.087068125,2,2
28,25,10,5,0,12,1200000,107991,0.0899925,4,4
29,25,10,5,0,23,2300000,185829,0.080795217,1,1
30,25,10,5,0,18,1800000,134995,0.074997222,4,4
15.5,25,10,5,0,17.33333333,1733333.333,136643.1333,0.080117149,2.7,2.7
