[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions,largest-region-fraction
1,30,10,5,0,36,3600000,253745,0.070484722,3,3,0.997777778
2,30,10,5,0,29,2900000,259728,0.089561379,3,3,0.997777778
3,30,10,5,0,58,5800000,365640,0.063041379,2,2,0.998888889
4,30,10,5,0,32,3200000,234847,0.073389688,1,1,1
5,30,10,5,0,33,3300000,247009,0.074851212,2,2,0.998888889
6,30,10,5,0,32,3200000,258533,0.080791563,3,3,0.997777778
7,30,10,5,0,28,2800000,240888,0.086031429,3,3,0.997777778
8,30,10,5,0,32,3200000,266388,0.08324625,6,6,0.987777778
9,30,10,5,0,49,4900000,308255,0.062909184,2,2,0.998888889
10,30,10,5,0,52,5200000,310194,0.059652692,1,1,1
11,30,10,5,0,30,3000000,244078,0.081359333,2,2,0.998888889
12,30,10,5,0,26,2600000,209475,0.080567308,5,5,0.995555556
13,30,10,5,0,33,3300000,281566,0.08532303,2,2,0.998888889
14,30,10,5,0,26,2600000,246945,0.094978846,2,2,0.998888889
15,30,10,5,0,47,4700000,248285,0.052826596,8,8,0.983333333
16,30,10,5,0,57,5700000,282582,0.049575789,1,1,1
17,30,10,5,0,57,5700000,403048,0.070710175,3,3,0.996666667
18,30,10,5,0,29,2900000,223353,0.077018276,4,4,0.996666667
19,30,10,5,0,20,2000000,163390,0.081695,5,5,0.971111111
20,30,10,5,0,42,4200000,286627,0.068244524,3,3,0.986666667
21,30,10,5,0,35,3500000,288400,0.0824,3,3,0.997777778
22,30,10,5,0,41,4100000,293235,0.071520732,2,2,0.998888889
23,30,10,5,0,36,3600000,253611,0.0704475,4,4,0.996666667
24,30,10,5,0,31,3100000,235552,0.075984516,4,4,0.996666667
25,30,10,5,0,29,2900000,257917,0.088936897,3,3,0.997777778
26,30,10,5,0,32,3200000,293224,0.0916325,2,2,0.997777778
27,30,10,5,0,33,3300000,293964,0.08908,3,3,0.997777778
28,30,10,5,0,78,7800000,328086,0.042062308,1,1,1
29,30,10,5,0,29,2900000,249347,0.085981724,3,3,0.997777778
30,30,10,5,0,68,6800000,342198,0.050323235,5,5,0.941111111
31,30,10,5,0,33,3300000,253648,0.07686303,1,1,1
32,30,10,5,0,26,2600000,218534,0.084051538,1,1,1
33,30,10,5,0,53,5300000,414696,0.078244528,3,3,0.983333333
34,30,10,5,0,81,8100000,465773,0.05750284,3,3,0.997777778
35,30,10,5,0,32,3200000,220769,0.068990313,5,5,0.993333333
36,30,10,5,0,22,2200000,173870,0.079031818,4,4,0.996666667
37,30,10,5,0,26,2600000,198854,0.076482308,5,5,0.995555556
38,30,10,5,0,34,3400000,267528,0.078684706,2,2,0.987777778
39,30,10,5,0,28,2800000,205344,0.073337143,4,4,0.996666667
40,30,10,5,0,73,7300000,377932,0.051771507,2,2,0.998888889
41,30,10,5,0,38,3800000,303016,0.079741053,4,4,0.996666667
42,30,10,5,0,29,2900000,248990,0.085858621,4,4,0.995555556
43,30,10,5,0,29,2900000,240085,0.082787931,3,3,0.997777778
44,30,10,5,0,40,4000000,270147,0.06753675,1,1,1
45,30,10,5,0,47,4700000,304182,0.064719574,1,1,1
46,30,10,5,0,37,3700000,230781,0.062373243,2,2,0.998888889
47,30,10,5,0,31,3100000,269671,0.086990645,4,4,0.993333333
48,30,10,5,0,44,4400000,266184,0.060496364,2,2,0.998888889
49,30,10,5,0,37,3700000,295302,0.079811351,2,2,0.998888889
50,30,10,5,0,28,2800000,237401,0.084786071,1,1,1
51,30,10,5,0,28,2800000,231621,0.082721786,2,2,0.996666667
52,30,10,5,0,45,4500000,293658,0.065257333,2,2,0.998888889
53,30,10,5,0,28,2800000,201262,0.071879286,3,3,0.995555556
54,30,10,5,0,57,5700000,307274,0.053907719,1,1,1
55,30,10,5,0,27,2700000,217140,0.080422222,3,3,0.997777778
56,30,10,5,0,57,5700000,402232,0.070567018,2,2,0.998888889
57,30,10,5,0,37,3700000,251220,0.067897297,8,8,0.987777778
58,30,10,5,0,28,2800000,256650,0.091660714,1,1,1
59,30,10,5,0,36,3600000,220174,0.061159444,4,4,0.99
60,30,10,5,0,36,3600000,268364,0.074545556,2,2,0.998888889
61,30,10,5,0,49,4900000,262561,0.053583878,2,2,0.998888889
62,30,10,5,0,37,3700000,208422,0.05633027,5,5,0.988888889
63,30,10,5,0,47,4700000,342030,0.07277234,1,1,1
64,30,10,5,0,28,2800000,280141,0.100050357,6,6,0.994444444
65,30,10,5,0,34,3400000,301149,0.088573235,2,2,0.998888889
66,30,10,5,0,31,3100000,246326,0.07946,2,2,0.998888889
67,30,10,5,0,33,3300000,265353,0.08041,3,3,0.997777778
68,30,10,5,0,32,3200000,253867,0.079333438,5,5,0.995555556
69,30,10,5,0,30,3000000,253550,0.084516667,2,2,0.995555556
70,30,10,5,0,35,3500000,260710,0.074488571,5,5,0.994444444
71,30,10,5,0,30,3000000,214193,0.071397667,3,3,0.997777778
72,30,10,5,0,45,4500000,241729,0.053717556,1,1,1
73,30,10,5,0,41,4100000,300429,0.073275366,2,2,0.996666667
74,30,10,5,0,47,4700000,237010,0.05042766,4,4,0.996666667
75,30,10,5,0,24,2400000,194590,0.081079167,4,4,0.996666667
76,30,10,5,0,49,4900000,338475,0.069076531,4,4,0.995555556
77,30,10,5,0,50,5000000,294402,0.0588804,4,4,0.994444444
78,30,10,5,0,43,4300000,285832,0.066472558,5,5,0.984444444
79,30,10,5,0,34,3400000,304706,0.089619412,2,2,0.996666667
80,30,10,5,0,28,2800000,243548,0.086981429,5,5,0.991111111
81,30,10,5,0,24,2400000,174474,0.0726975,5,5,0.985555556
82,30,10,5,0,51,5100000,296027,0.05804451,4,4,0.996666667
83,30,10,5,0,23,2300000,196321,0.085356957,3,3,0.992222222
84,30,10,5,0,45,4500000,295447,0.065654889,2,2,0.998888889
85,30,10,5,0,38,3800000,244853,0.064435,1,1,1
86,30,10,5,0,25,2500000,211307,0.0845228,2,2,0.998888889
87,30,10,5,0,36,3600000,269873,0.074964722,4,4,0.996666667
88,30,10,5,0,47,4700000,327050,0.069585106,2,2,0.998888889
89,30,10,5,0,32,3200000,262290,0.081965625,3,3,0.997777778
90,30,10,5,0,22,2200000,205841,0.093564091,4,4,0.996666667
91,30,10,5,0,32,3200000,267489,0.083590313,2,2,0.998888889
92,30,10,5,0,69,6900000,340872,0.049401739,3,3,0.995555556
93,30,10,5,0,44,4400000,270821,0.061550227,6,6,0.994444444
94,30,10,5,0,47,4700000,297003,0.063192128,6,6,0.994444444
95,30,10,5,0,44,4400000,260416,0.059185455,3,3,0.997777778
96,30,10,5,0,30,3000000,241386,0.080462,1,1,1
97,30,10,5,0,40,4000000,284605,0.07115125,3,3,0.994444444
98,30,10,5,0,30,3000000,255990,0.08533,1,1,1
99,30,10,5,0,35,3500000,264163,0.075475143,3,3,0.994444444
100,30,10,5,0,30,3000000,240147,0.080049,1,1,1
50.5,30,10,5,0,37.98,3798000,268178.1,0.073653324,2.99,2.99,0.995644444
