"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"table1_replication"
"03/13/2026 17:53:48:205 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"2","10","5","30","30","0","0","0","0","894","900"
"1","10","5","30","30","0","0","0","0","896","900"
"3","10","5","30","30","0","0","0","0","893","900"
"2","10","5","30","30","1","100000","8575","0.08575","482","504"
"1","10","5","30","30","1","100000","8386","0.08386","432","457"
"3","10","5","30","30","1","100000","8600","0.086","405","423"
"2","10","5","30","30","2","200000","19410","0.09705","310","356"
"1","10","5","30","30","2","200000","18465","0.092325","328","366"
"3","10","5","30","30","2","200000","18096","0.09048","313","339"
"2","10","5","30","30","3","300000","30712","0.10237333333333333","267","316"
"1","10","5","30","30","3","300000","29765","0.09921666666666666","249","296"
"3","10","5","30","30","3","300000","28074","0.09358","252","287"
"2","10","5","30","30","4","400000","42265","0.1056625","213","254"
"1","10","5","30","30","4","400000","41642","0.104105","195","238"
"3","10","5","30","30","4","400000","38103","0.0952575","229","255"
"2","10","5","30","30","5","500000","53807","0.107614","163","218"
"1","10","5","30","30","5","500000","52478","0.104956","179","227"
"3","10","5","30","30","5","500000","48422","0.096844","193","231"
"2","10","5","30","30","6","600000","63942","0.10657","128","182"
"1","10","5","30","30","6","600000","62924","0.10487333333333333","148","183"
"3","10","5","30","30","6","600000","58235","0.09705833333333333","163","209"
"2","10","5","30","30","7","700000","72439","0.10348428571428571","96","138"
"1","10","5","30","30","7","700000","72180","0.10311428571428571","114","152"
"3","10","5","30","30","7","700000","68049","0.09721285714285714","152","194"
"2","10","5","30","30","8","800000","79681","0.09960125","84","121"
"1","10","5","30","30","8","800000","80485","0.10060625","99","145"
"3","10","5","30","30","8","800000","77036","0.096295","140","187"
"2","10","5","30","30","9","900000","86779","0.09642111111111111","76","102"
"1","10","5","30","30","9","900000","88843","0.09871444444444444","108","147"
"3","10","5","30","30","9","900000","85848","0.09538666666666666","118","154"
"2","10","5","30","30","10","1000000","93816","0.093816","77","117"
"1","10","5","30","30","10","1000000","97106","0.097106","96","136"
"3","10","5","30","30","10","1000000","94200","0.0942","105","146"
"2","10","5","30","30","11","1100000","101262","0.09205636363636363","86","135"
"1","10","5","30","30","11","1100000","104987","0.09544272727272728","82","116"
"3","10","5","30","30","11","1100000","102720","0.09338181818181818","104","150"
"2","10","5","30","30","12","1200000","108650","0.09054166666666667","76","117"
"1","10","5","30","30","12","1200000","111862","0.09321833333333333","67","94"
"3","10","5","30","30","12","1200000","111051","0.0925425","99","136"
"2","10","5","30","30","13","1300000","115371","0.08874692307692307","60","86"
"1","10","5","30","30","13","1300000","117934","0.09071846153846154","56","84"
"3","10","5","30","30","13","1300000","119117","0.09162846153846153","96","136"
"2","10","5","30","30","14","1400000","121495","0.08678214285714286","64","118"
"1","10","5","30","30","14","1400000","123313","0.08808071428571429","38","55"
"3","10","5","30","30","14","1400000","127585","0.09113214285714286","88","131"
"2","10","5","30","30","15","1500000","127767","0.085178","65","101"
"1","10","5","30","30","15","1500000","127994","0.08532933333333333","32","46"
"3","10","5","30","30","15","1500000","136060","0.09070666666666667","80","133"
"2","10","5","30","30","16","1600000","134452","0.0840325","66","96"
"1","10","5","30","30","16","1600000","131645","0.082278125","30","42"
"3","10","5","30","30","16","1600000","144145","0.090090625","79","116"
"2","10","5","30","30","17","1700000","141702","0.08335411764705883","66","97"
"1","10","5","30","30","17","1700000","135032","0.07943058823529411","20","27"
