[run number],Q,F,world-width,world-height,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,10,5,10,10,56,5600000,253536,0.045274286,7,7
2,10,5,10,10,116,11600000,458668,0.039540345,4,4
3,10,5,10,10,103,10300000,290386,0.028192816,10,10
4,10,5,10,10,91,9100000,359352,0.039489231,8,8
5,10,5,10,10,54,5400000,264909,0.049057222,5,5
6,10,5,10,10,149,14900000,409309,0.027470403,5,5
7,10,5,10,10,66,6600000,290931,0.044080455,7,7
8,10,5,10,10,91,9100000,220308,0.02420967,14,14
9,10,5,10,10,129,12900000,549491,0.042596202,8,8
10,10,5,10,10,65,6500000,297924,0.045834462,5,5
11,10,5,10,10,80,8000000,328945,0.041118125,7,7
12,10,5,10,10,71,7100000,377422,0.053158028,6,6
13,10,5,10,10,92,9200000,302353,0.032864457,7,7
14,10,5,10,10,94,9400000,400152,0.042569362,7,7
15,10,5,10,10,89,8900000,320349,0.03599427,6,6
16,10,5,10,10,107,10700000,445609,0.041645701,4,4
17,10,5,10,10,62,6200000,253350,0.040862903,2,2
18,10,5,10,10,89,8900000,471788,0.053009888,8,8
19,10,5,10,10,89,8900000,406499,0.045674045,12,12
20,10,5,10,10,60,6000000,320239,0.053373167,4,4
21,10,5,10,10,78,7800000,305165,0.039123718,6,6
22,10,5,10,10,64,6400000,300996,0.047030625,3,3
23,10,5,10,10,53,5300000,243833,0.046006226,11,11
24,10,5,10,10,91,9100000,323790,0.035581319,9,9
25,10,5,10,10,131,13100000,369754,0.028225496,8,8
26,10,5,10,10,59,5900000,262657,0.044518136,4,4
27,10,5,10,10,66,6600000,230267,0.034888939,11,11
28,10,5,10,10,154,15400000,438301,0.028461104,6,6
29,10,5,10,10,87,8700000,254006,0.029196092,8,8
30,10,5,10,10,101,10100000,375101,0.037138713,6,6
2,10,5,10,10,87.9,8790000,337513,0.039872847,6.933333333,6.933333333
