"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"experiment5"
"03/14/2026 10:20:54:841 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"1","10","5","20","20","0","0","0","0","894","900"
"3","10","5","20","20","0","0","0","0","894","900"
"2","10","5","20","20","0","0","0","0","897","900"
"3","10","5","20","20","1","100000","8334","0.08334","429","455"
"2","10","5","20","20","1","100000","8581","0.08581","475","503"
"1","10","5","20","20","1","100000","7944","0.07944","441","459"
"3","10","5","20","20","2","200000","18025","0.090125","313","336"
"2","10","5","20","20","2","200000","19769","0.098845","370","413"
"1","10","5","20","20","2","200000","17806","0.08903","337","380"
"3","10","5","20","20","3","300000","28509","0.09503","257","296"
"2","10","5","20","20","3","300000","32116","0.10705333333333333","286","328"
"1","10","5","20","20","3","300000","28775","0.09591666666666666","267","318"
"3","10","5","20","20","4","400000","39716","0.09929","232","270"
"2","10","5","20","20","4","400000","43869","0.1096725","207","256"
"1","10","5","20","20","4","400000","39962","0.099905","190","243"
"3","10","5","20","20","5","500000","51108","0.102216","189","244"
"2","10","5","20","20","5","500000","55516","0.111032","180","239"
"1","10","5","20","20","5","500000","49847","0.099694","149","189"
"3","10","5","20","20","6","600000","62602","0.10433666666666666","151","212"
"2","10","5","20","20","6","600000","66408","0.11068","156","203"
"1","10","5","20","20","6","600000","58735","0.09789166666666667","116","153"
"3","10","5","20","20","7","700000","72344","0.10334857142857143","117","166"
"2","10","5","20","20","7","700000","76857","0.10979571428571429","125","171"
"1","10","5","20","20","7","700000","67117","0.09588142857142858","125","177"
"3","10","5","20","20","8","800000","81087","0.10135875","110","147"
"2","10","5","20","20","8","800000","87049","0.10881125","118","166"
"1","10","5","20","20","8","800000","76211","0.09526375","110","159"
"3","10","5","20","20","9","900000","88961","0.09884555555555556","97","147"
"2","10","5","20","20","9","900000","96532","0.10725777777777777","102","135"
"1","10","5","20","20","9","900000","85053","0.09450333333333333","97","138"
"3","10","5","20","20","10","1000000","96686","0.096686","75","113"
"2","10","5","20","20","10","1000000","105623","0.105623","93","147"
"1","10","5","20","20","10","1000000","93882","0.093882","102","148"
"3","10","5","20","20","11","1100000","103977","0.09452454545454546","69","98"
"2","10","5","20","20","11","1100000","114245","0.10385909090909091","73","113"
"1","10","5","20","20","11","1100000","102847","0.09349727272727272","89","129"
"3","10","5","20","20","12","1200000","110713","0.09226083333333333","68","97"
"2","10","5","20","20","12","1200000","122493","0.1020775","76","125"
"1","10","5","20","20","12","1200000","111038","0.09253166666666666","72","116"
"3","10","5","20","20","13","1300000","116874","0.08990307692307692","66","100"
"2","10","5","20","20","13","1300000","130732","0.10056307692307692","73","116"
"1","10","5","20","20","13","1300000","118459","0.0911223076923077","66","106"
"3","10","5","20","20","14","1400000","122858","0.08775571428571428","57","83"
"2","10","5","20","20","14","1400000","138914","0.09922428571428571","72","111"
"1","10","5","20","20","14","1400000","125754","0.08982428571428572","55","84"
"3","10","5","20","20","15","1500000","128007","0.085338","40","51"
"2","10","5","20","20","15","1500000","146436","0.097624","67","98"
"1","10","5","20","20","15","1500000","132747","0.088498","50","83"
"3","10","5","20","20","16","1600000","132637","0.082898125","39","64"
"2","10","5","20","20","16","1600000","154156","0.0963475","61","93"
"1","10","5","20","20","16","1600000","139636","0.0872725","52","90"
"3","10","5","20","20","17","1700000","136985","0.08057941176470589","45","60"
"2","10","5","20","20","17","1700000","161659","0.0950935294117647","63","105"
"1","10","5","20","20","17","1700000","146650","0.08626470588235294","56","91"
"3","10","5","20","20","18","1800000","141407","0.07855944444444445","49","66"
"2","10","5","20","20","18","1800000","168899","0.09383277777777778","70","119"
"1","10","5","20","20","18","1800000","153253","0.08514055555555555","53","89"
"3","10","5","20","20","19","1900000","145346","0.07649789473684211","44","66"
"2","10","5","20","20","19","1900000","176331","0.09280578947368422","70","104"
"1","10","5","20","20","19","1900000","159748","0.0840778947368421","49","85"
"3","10","5","20","20","20","2000000","149004","0.074502","36","62"
"2","10","5","20","20","20","2000000","183425","0.0917125","59","92"
"1","10","5","20","20","20","2000000","166138","0.083069","50","79"
"3","10","5","20","20","21","2100000","153055","0.07288333333333333","32","56"
"2","10","5","20","20","21","2100000","190240","0.0905904761904762","53","87"
"1","10","5","20","20","21","2100000","172600","0.08219047619047619","44","69"
"3","10","5","20","20","22","2200000","157001","0.0713640909090909","37","53"
"2","10","5","20","20","22","2200000","197631","0.08983227272727273","47","79"
"1","10","5","20","20","22","2200000","178700","0.08122727272727273","41","72"
"3","10","5","20","20","23","2300000","160500","0.06978260869565217","34","55"
"2","10","5","20","20","23","2300000","204500","0.08891304347826087","51","88"
"1","10","5","20","20","23","2300000","184831","0.08036130434782608","34","63"
"3","10","5","20","20","24","2400000","163560","0.06815","22","33"
"2","10","5","20","20","24","2400000","211191","0.08799625","46","83"
"1","10","5","20","20","24","2400000","191069","0.07961208333333333","36","65"
"3","10","5","20","20","25","2500000","166334","0.0665336","20","36"
"2","10","5","20","20","25","2500000","218197","0.0872788","44","79"
"3","10","5","20","20","26","2600000","169141","0.06505423076923077","22","32"
"1","10","5","20","20","25","2500000","197038","0.0788152","33","57"
"2","10","5","20","20","26","2600000","224887","0.086495","46","69"
"3","10","5","20","20","27","2700000","171614","0.06356074074074074","18","23"
"1","10","5","20","20","26","2600000","202786","0.07799461538461538","31","54"
"2","10","5","20","20","27","2700000","231757","0.08583592592592593","55","90"
"3","10","5","20","20","28","2800000","173849","0.06208892857142857","14","17"
"1","10","5","20","20","27","2700000","208356","0.07716888888888888","31","57"
"3","10","5","20","20","29","2900000","175047","0.06036103448275862","10","13"
"2","10","5","20","20","28","2800000","238833","0.0852975","46","81"
"1","10","5","20","20","28","2800000","213817","0.07636321428571428","33","61"
"3","10","5","20","20","30","3000000","176065","0.058688333333333335","10","11"
"2","10","5","20","20","29","2900000","245117","0.08452310344827586","40","67"
"1","10","5","20","20","29","2900000","218849","0.07546517241379311","28","47"
"3","10","5","20","20","31","3100000","176947","0.05707967741935484","10","11"
"2","10","5","20","20","30","3000000","250973","0.08365766666666667","40","63"
"1","10","5","20","20","30","3000000","223822","0.07460733333333333","29","52"
"3","10","5","20","20","32","3200000","177812","0.05556625","10","10"
"2","10","5","20","20","31","3100000","257179","0.08296096774193548","36","71"
"1","10","5","20","20","31","3100000","228459","0.07369645161290322","29","41"
"3","10","5","20","20","33","3300000","178772","0.05417333333333333","10","12"
"2","10","5","20","20","32","3200000","263334","0.082291875","37","54"
"1","10","5","20","20","32","3200000","233031","0.0728221875","25","39"
"3","10","5","20","20","34","3400000","179809","0.052885","10","11"
"2","10","5","20","20","33","3300000","269439","0.08164818181818181","35","68"
"1","10","5","20","20","33","3300000","237120","0.07185454545454545","21","46"
"3","10","5","20","20","35","3500000","180758","0.051645142857142855","10","13"
"2","10","5","20","20","34","3400000","275273","0.08096264705882353","41","68"
"1","10","5","20","20","34","3400000","240942","0.07086529411764705","21","41"
"3","10","5","20","20","36","3600000","182037","0.05056583333333333","9","10"
"2","10","5","20","20","35","3500000","280696","0.08019885714285714","35","59"
"1","10","5","20","20","35","3500000","244843","0.06995514285714285","18","34"
"3","10","5","20","20","37","3700000","183170","0.049505405405405406","9","9"
"2","10","5","20","20","36","3600000","286112","0.07947555555555555","31","48"
"1","10","5","20","20","36","3600000","248872","0.06913111111111112","19","40"
"3","10","5","20","20","38","3800000","184209","0.04847605263157895","9","11"
"2","10","5","20","20","37","3700000","291826","0.0788718918918919","35","54"
"1","10","5","20","20","37","3700000","252800","0.06832432432432432","19","32"
"3","10","5","20","20","39","3900000","185241","0.04749769230769231","9","9"
"2","10","5","20","20","38","3800000","297346","0.07824894736842106","34","70"
"1","10","5","20","20","38","3800000","256435","0.0674828947368421","19","26"
"3","10","5","20","20","40","4000000","186131","0.04653275","9","10"
"2","10","5","20","20","39","3900000","302699","0.07761512820512821","33","55"
"1","10","5","20","20","39","3900000","260057","0.06668128205128206","24","37"
"3","10","5","20","20","41","4100000","187343","0.04569341463414634","9","12"
"2","10","5","20","20","40","4000000","307762","0.0769405","32","70"
"1","10","5","20","20","40","4000000","263207","0.06580175","19","34"
"3","10","5","20","20","42","4200000","188533","0.044888809523809525","9","12"
"2","10","5","20","20","41","4100000","313420","0.0764439024390244","27","53"
"3","10","5","20","20","43","4300000","190084","0.04420558139534884","9","10"
"1","10","5","20","20","41","4100000","266263","0.06494219512195122","18","26"
"3","10","5","20","20","44","4400000","191480","0.04351818181818182","9","9"
"2","10","5","20","20","42","4200000","318616","0.07586095238095238","26","52"
"1","10","5","20","20","42","4200000","269491","0.06416452380952381","13","25"
"3","10","5","20","20","45","4500000","192830","0.04285111111111111","10","10"
"1","10","5","20","20","43","4300000","272393","0.06334720930232558","14","26"
