"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"table1_replication"
"03/13/2026 16:12:38:164 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"3","5","3","30","30","0","0","0","0","124","885"
"2","5","3","30","30","0","0","0","0","125","887"
"1","5","3","30","30","0","0","0","0","125","891"
"3","5","3","30","30","1","100000","7366","0.07366","105","245"
"2","5","3","30","30","1","100000","7015","0.07015","101","208"
"1","5","3","30","30","1","100000","7275","0.07275","105","261"
"3","5","3","30","30","2","200000","13893","0.069465","65","134"
"2","5","3","30","30","2","200000","12757","0.063785","74","144"
"1","5","3","30","30","2","200000","13976","0.06988","73","131"
"3","5","3","30","30","3","300000","19509","0.06503","50","83"
"2","5","3","30","30","3","300000","18613","0.06204333333333333","58","98"
"1","5","3","30","30","3","300000","19338","0.06446","60","112"
"3","5","3","30","30","4","400000","24281","0.0607025","45","81"
"1","5","3","30","30","4","400000","24026","0.060065","49","92"
"2","5","3","30","30","4","400000","24584","0.06146","51","94"
"3","5","3","30","30","5","500000","28573","0.057146","40","68"
"1","5","3","30","30","5","500000","27730","0.05546","39","69"
"2","5","3","30","30","5","500000","30098","0.060196","49","88"
"1","5","3","30","30","6","600000","31538","0.05256333333333333","46","70"
"3","5","3","30","30","6","600000","33264","0.05544","36","75"
"2","5","3","30","30","6","600000","35604","0.05934","42","76"
"1","5","3","30","30","7","700000","35407","0.05058142857142857","35","61"
"3","5","3","30","30","7","700000","37840","0.05405714285714286","33","65"
"2","5","3","30","30","7","700000","40451","0.057787142857142856","45","72"
"3","5","3","30","30","8","800000","41730","0.0521625","26","47"
"1","5","3","30","30","8","800000","39658","0.0495725","40","83"
"2","5","3","30","30","8","800000","44208","0.05526","29","53"
"3","5","3","30","30","9","900000","44879","0.04986555555555556","21","35"
"1","5","3","30","30","9","900000","43725","0.04858333333333333","31","55"
"2","5","3","30","30","9","900000","47674","0.05297111111111111","28","48"
"3","5","3","30","30","10","1000000","48238","0.048238","21","37"
"1","5","3","30","30","10","1000000","47671","0.047671","30","60"
"2","5","3","30","30","10","1000000","50673","0.050673","26","36"
"3","5","3","30","30","11","1100000","51193","0.04653909090909091","17","37"
"1","5","3","30","30","11","1100000","51291","0.04662818181818182","24","37"
"2","5","3","30","30","11","1100000","53695","0.048813636363636365","24","35"
