[run number],Q,F,world-width,world-height,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,5,3,30,30,0,0,0,0,125,887
1,5,3,30,30,1,100000,6723,0.06723,96,212
1,5,3,30,30,2,200000,11743,0.058715,70,126
1,5,3,30,30,3,300000,15889,0.052963333,56,82
1,5,3,30,30,4,400000,19308,0.04827,48,76
1,5,3,30,30,5,500000,22284,0.044568,39,53
1,5,3,30,30,6,600000,24778,0.041296667,35,50
1,5,3,30,30,7,700000,27563,0.039375714,35,59
1,5,3,30,30,8,800000,30618,0.0382725,33,50
1,5,3,30,30,9,900000,33340,0.037044444,31,45
1,5,3,30,30,10,1000000,35639,0.035639,32,42
1,5,3,30,30,11,1100000,37886,0.034441818,33,47
1,5,3,30,30,12,1200000,40329,0.0336075,31,47
1,5,3,30,30,13,1300000,42841,0.032954615,29,40
1,5,3,30,30,14,1400000,45164,0.03226,29,39
1,5,3,30,30,15,1500000,47579,0.031719333,27,35
1,5,3,30,30,16,1600000,49846,0.03115375,29,44
1,5,3,30,30,17,1700000,52036,0.030609412,22,32
1,5,3,30,30,18,1800000,54177,0.030098333,23,31
1,5,3,30,30,19,1900000,55907,0.029424737,23,28
1,5,3,30,30,20,2000000,57669,0.0288345,21,28
1,5,3,30,30,21,2100000,59236,0.028207619,22,25
1,5,3,30,30,22,2200000,60909,0.027685909,22,26
1,5,3,30,30,23,2300000,62439,0.027147391,22,28
1,5,3,30,30,24,2400000,63719,0.026549583,21,24
1,5,3,30,30,25,2500000,64781,0.0259124,19,25
1,5,3,30,30,26,2600000,65609,0.025234231,19,22
1,5,3,30,30,27,2700000,66485,0.024624074,19,26
1,5,3,30,30,28,2800000,67498,0.024106429,19,25
1,5,3,30,30,29,2900000,68520,0.023627586,19,24
1,5,3,30,30,30,3000000,69508,0.023169333,19,27
1,5,3,30,30,31,3100000,70336,0.022689032,19,24
1,5,3,30,30,32,3200000,71353,0.022297813,19,29
1,5,3,30,30,33,3300000,72445,0.02195303,20,25
1,5,3,30,30,34,3400000,73729,0.021685,20,25
1,5,3,30,30,35,3500000,75006,0.021430286,20,30
1,5,3,30,30,36,3600000,76524,0.021256667,21,28
1,5,3,30,30,37,3700000,77910,0.021056757,19,22
1,5,3,30,30,38,3800000,78993,0.020787632,18,22
1,5,3,30,30,39,3900000,80014,0.02051641,18,21
1,5,3,30,30,40,4000000,80914,0.0202285,18,21
1,5,3,30,30,41,4100000,81779,0.019946098,17,19
1,5,3,30,30,42,4200000,82488,0.01964,17,18
1,5,3,30,30,43,4300000,83256,0.01936186,18,18
1,5,3,30,30,44,4400000,83942,0.019077727,17,17
1,5,3,30,30,45,4500000,84803,0.018845111,17,18
1,5,3,30,30,46,4600000,85646,0.018618696,17,21
1,5,3,30,30,47,4700000,86366,0.018375745,18,19
1,5,3,30,30,48,4800000,87185,0.018163542,18,19
1,5,3,30,30,49,4900000,87967,0.017952449,17,17
1,5,3,30,30,50,5000000,88849,0.0177698,18,23
1,5,3,30,30,51,5100000,89651,0.017578627,18,23
1,5,3,30,30,52,5200000,90386,0.017381923,17,18
1,5,3,30,30,53,5300000,90986,0.01716717,16,17
1,5,3,30,30,54,5400000,91521,0.016948333,15,15
1,5,3,30,30,55,5500000,92107,0.016746727,15,15
1,5,3,30,30,56,5600000,92726,0.016558214,15,15
1,5,3,30,30,57,5700000,93420,0.016389474,16,16
1,5,3,30,30,58,5800000,94115,0.016226724,16,17
1,5,3,30,30,59,5900000,94743,0.016058136,16,17
1,5,3,30,30,60,6000000,95284,0.015880667,15,17
1,5,3,30,30,61,6100000,95850,0.015713115,15,17
1,5,3,30,30,62,6200000,96372,0.015543871,15,15
1,5,3,30,30,63,6300000,96814,0.015367302,15,16
1,5,3,30,30,64,6400000,97219,0.015190469,15,15
1,5,3,30,30,65,6500000,97614,0.015017538,15,16
1,5,3,30,30,66,6600000,98038,0.014854242,16,18
1,5,3,30,30,67,6700000,98476,0.01469791,15,15
1,5,3,30,30,68,6800000,99016,0.014561176,15,15
1,5,3,30,30,69,6900000,99430,0.014410145,15,15
1,5,3,30,30,70,7000000,99992,0.014284571,15,16
1,5,3,30,30,71,7100000,100562,0.014163662,15,15
1,5,3,30,30,72,7200000,100973,0.014024028,15,15
1,5,3,30,30,73,7300000,101288,0.013875068,16,16
1,5,3,30,30,74,7400000,101696,0.013742703,15,16
1,5,3,30,30,75,7500000,102158,0.013621067,15,15
1,5,3,30,30,76,7600000,102605,0.013500658,15,19
1,5,3,30,30,77,7700000,103024,0.01337974,15,15
1,5,3,30,30,78,7800000,103391,0.013255256,16,18
1,5,3,30,30,79,7900000,103673,0.013123165,16,18
1,5,3,30,30,80,8000000,103883,0.012985375,15,16
1,5,3,30,30,81,8100000,104127,0.012855185,16,16
1,5,3,30,30,82,8200000,104368,0.012727805,16,17
1,5,3,30,30,83,8300000,104535,0.012594578,15,16
1,5,3,30,30,84,8400000,104787,0.012474643,15,16
1,5,3,30,30,85,8500000,105019,0.012355176,15,18
1,5,3,30,30,86,8600000,105319,0.012246395,15,16
1,5,3,30,30,87,8700000,105533,0.01213023,15,15
1,5,3,30,30,88,8800000,105724,0.012014091,15,16
1,5,3,30,30,89,8900000,105886,0.011897303,14,14
1,5,3,30,30,90,9000000,106060,0.011784444,14,17
1,5,3,30,30,91,9100000,106249,0.011675714,14,14
1,5,3,30,30,92,9200000,106406,0.01156587,14,14
1,5,3,30,30,93,9300000,106538,0.011455699,14,14
1,5,3,30,30,94,9400000,106704,0.011351489,14,14
1,5,3,30,30,95,9500000,106804,0.011242526,14,14
1,5,3,30,30,96,9600000,106916,0.011137083,14,15
1,5,3,30,30,97,9700000,107032,0.011034227,14,14
1,5,3,30,30,98,9800000,107142,0.010932857,14,15
1,5,3,30,30,99,9900000,107277,0.010836061,14,15
1,5,3,30,30,100,10000000,107445,0.0107445,14,14
1,5,3,30,30,101,10100000,107646,0.01065802,14,15
1,5,3,30,30,102,10200000,107770,0.010565686,14,14
1,5,3,30,30,103,10300000,107913,0.01047699,14,14
1,5,3,30,30,104,10400000,108061,0.010390481,14,14
1,5,3,30,30,105,10500000,108199,0.010304667,14,14
1,5,3,30,30,106,10600000,108342,0.010220943,14,15
1,5,3,30,30,107,10700000,108447,0.010135234,14,14
1,5,3,30,30,108,10800000,108562,0.010052037,14,14
1,5,3,30,30,109,10900000,108661,0.009968899,14,14
1,5,3,30,30,110,11000000,108800,0.009890909,14,17
1,5,3,30,30,111,11100000,108922,0.009812793,14,14
1,5,3,30,30,112,11200000,109062,0.009737679,14,14
1,5,3,30,30,113,11300000,109174,0.009661416,14,14
1,5,3,30,30,114,11400000,109335,0.009590789,14,14
1,5,3,30,30,115,11500000,109487,0.009520609,14,14
1,5,3,30,30,116,11600000,109703,0.009457155,14,16
1,5,3,30,30,117,11700000,109859,0.009389658,14,14
1,5,3,30,30,118,11800000,110019,0.009323644,14,14
1,5,3,30,30,119,11900000,110172,0.009258151,14,14
1,5,3,30,30,120,12000000,110331,0.00919425,14,14
1,5,3,30,30,121,12100000,110506,0.009132727,14,14
1,5,3,30,30,122,12200000,110664,0.00907082,14,15
1,5,3,30,30,123,12300000,110817,0.009009512,14,14
1,5,3,30,30,124,12400000,110990,0.008950806,14,14
1,5,3,30,30,125,12500000,111130,0.0088904,14,15
1,5,3,30,30,126,12600000,111279,0.008831667,14,14
1,5,3,30,30,127,12700000,111486,0.008778425,14,14
1,5,3,30,30,128,12800000,111661,0.008723516,14,14
1,5,3,30,30,129,12900000,111798,0.008666512,14,14
1,5,3,30,30,130,13000000,111916,0.008608923,14,14
1,5,3,30,30,131,13100000,112052,0.008553588,14,14
1,5,3,30,30,132,13200000,112222,0.008501667,14,14
1,5,3,30,30,133,13300000,112336,0.008446316,14,14
1,5,3,30,30,134,13400000,112443,0.008391269,14,14
1,5,3,30,30,135,13500000,112630,0.008342963,14,14
1,5,3,30,30,136,13600000,112719,0.008288162,14,14
1,5,3,30,30,137,13700000,112720,0.008227737,13,13
