"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"table1_replication"
"03/13/2026 16:30:37:781 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"2","5","3","30","30","0","0","0","0","125","886"
"1","5","3","30","30","0","0","0","0","125","888"
"3","5","3","30","30","0","0","0","0","125","886"
"2","5","3","30","30","1","100000","7039","0.07039","103","239"
"1","5","3","30","30","1","100000","7168","0.07168","91","225"
"3","5","3","30","30","1","100000","7204","0.07204","100","224"
"2","5","3","30","30","2","200000","13539","0.067695","82","144"
"1","5","3","30","30","2","200000","12843","0.064215","70","120"
"3","5","3","30","30","2","200000","13894","0.06947","82","135"
"2","5","3","30","30","3","300000","20557","0.06852333333333334","65","111"
"1","5","3","30","30","3","300000","17148","0.05716","50","83"
"3","5","3","30","30","3","300000","19281","0.06427","49","85"
"1","5","3","30","30","4","400000","21044","0.05261","47","82"
"2","5","3","30","30","4","400000","26868","0.06717","56","91"
"3","5","3","30","30","4","400000","24491","0.0612275","46","80"
"1","5","3","30","30","5","500000","25216","0.050432","48","81"
"2","5","3","30","30","5","500000","32622","0.065244","52","90"
"3","5","3","30","30","5","500000","28761","0.057522","40","66"
"1","5","3","30","30","6","600000","29466","0.04911","44","76"
"2","5","3","30","30","6","600000","37423","0.062371666666666666","38","59"
"3","5","3","30","30","6","600000","33175","0.05529166666666667","38","60"
"1","5","3","30","30","7","700000","33984","0.04854857142857143","44","71"
"2","5","3","30","30","7","700000","41019","0.05859857142857143","33","41"
"3","5","3","30","30","7","700000","37519","0.053598571428571426","38","61"
"1","5","3","30","30","8","800000","37807","0.04725875","42","66"
"2","5","3","30","30","8","800000","44791","0.05598875","30","44"
"3","5","3","30","30","8","800000","41417","0.05177125","34","50"
"1","5","3","30","30","9","900000","41483","0.04609222222222222","38","64"
"2","5","3","30","30","9","900000","48481","0.05386777777777778","28","43"
"3","5","3","30","30","9","900000","44216","0.04912888888888889","28","41"
"1","5","3","30","30","10","1000000","45567","0.045567","35","70"
"2","5","3","30","30","10","1000000","51910","0.05191","26","40"
"3","5","3","30","30","10","1000000","46227","0.046227","19","27"
"1","5","3","30","30","11","1100000","50109","0.045553636363636366","34","83"
"3","5","3","30","30","11","1100000","48136","0.04376","20","28"
"2","5","3","30","30","11","1100000","55550","0.0505","26","43"
"3","5","3","30","30","12","1200000","50488","0.04207333333333333","19","37"
"1","5","3","30","30","12","1200000","55028","0.045856666666666664","29","64"
"2","5","3","30","30","12","1200000","59057","0.04921416666666667","24","42"
"3","5","3","30","30","13","1300000","53243","0.040956153846153844","19","30"
"1","5","3","30","30","13","1300000","59607","0.045851538461538464","24","47"
"2","5","3","30","30","13","1300000","62157","0.04781307692307692","21","43"
"3","5","3","30","30","14","1400000","55524","0.03966","13","20"
"1","5","3","30","30","14","1400000","63850","0.04560714285714286","23","39"
"2","5","3","30","30","14","1400000","64600","0.046142857142857145","17","29"
"3","5","3","30","30","15","1500000","57454","0.038302666666666665","13","18"
"2","5","3","30","30","15","1500000","66665","0.044443333333333335","18","33"
"1","5","3","30","30","15","1500000","68030","0.045353333333333336","23","49"
"3","5","3","30","30","16","1600000","58990","0.03686875","10","13"
"2","5","3","30","30","16","1600000","68398","0.04274875","15","20"
"1","5","3","30","30","16","1600000","72254","0.04515875","19","37"
"3","5","3","30","30","17","1700000","60320","0.03548235294117647","11","18"
"2","5","3","30","30","17","1700000","69809","0.04106411764705882","15","20"
"1","5","3","30","30","17","1700000","76103","0.044766470588235296","19","34"
"3","5","3","30","30","18","1800000","61703","0.034279444444444446","11","14"
"2","5","3","30","30","18","1800000","71223","0.03956833333333333","11","12"
"1","5","3","30","30","18","1800000","79705","0.04428055555555555","17","32"
"3","5","3","30","30","19","1900000","62972","0.03314315789473684","11","12"
"2","5","3","30","30","19","1900000","72359","0.03808368421052632","12","17"
